Arumainayagam, Yogi
Arun, Abhishek
Asa, Yasuhiro
Asada, Yoshiaki
Asadi, Ayman
Asahara, Masayuki
Asher, Nicholas
Ashley, Kevin D.
Asker, Lars
Assadi, Houssem
ERROR
Aswani, Niraj
Atallah, Mikhail J.
Atkins, B. T. S.
Atlam, El-Sayed
Atserias, Jordi
Attardi, Giuseppe
Atterer, Michaela
Attia, Mohammed
Atutxa, Aitziber
Atwell, Eric Steven
Aubin, Sophie
Audibert, Laurent
Aue, Anthony
Auer, John
August, Stephanie E.
Austerweil, Joseph
Austin, Steve
Avgustinova, Tania
Avram, Dana
ERROR
Axelrod, Amittai
Axelrod, Scott
Ayan, Necip Fazil
Aylett, Ruth
Ayo, Jonathan P.
Ayuso, Damaris M.
Azuma, Ai
Azzam, Saliha
Azzopardi, Leif
Ba, Ousmane
Baart, Joan L. G.
Baayen, R. Harald
Babko-Malaya, Olga
Babych, Bogdan
ERROR
Bacchiani, Michiel
Bach, Nguyen
Bachenko, Joan
Bachimont, Bruno
Bachman, Lyle F.
Bachrach, J. A.
Bachut, Daniel
Backer, Wm. J.
Backofen, Rolf
Backus, Sarah
ERROR
Badia, Toni
Badler, Norman
Badran, Ahmed
Badulescu, Adriana
Bae, Sun-Mee
Baert, E.
Bagga, Amit
Baggia, Paolo
Bahl, L. R.
Bai, Jing
Bai, Ming-Hong
Bai, Shuanhu
Bailes, P. A. C.
Bainbridge, R. I.
Bajcsy, R.
Baker, Collin F.
Baker, James K.
Baker, Janet M.
Baker, Jeffrey
Baker, Kathryn L.
Baker, Kenneth
Baker, Steven
ERROR
Balakrishnan, Sreeram
Balari, Sergio
Balasubramanian, Vijay
Balcom, Laura Blumer
Baldewein, Ulrike
Baldridge, Jason
Balducci, Franco
Baldwin, Breck
Baldwin, Gay
Baldwin, Timothy
Baldwin, Tyler
Balfourier, Jean-Marie
Balkan, Lorna
Balkanski, Cecile T.
Ball, Catherine N.
Ball, Jerry
Ball, Richard
Ballard, Bruce W.
Ballim, Afzal
Balog, Krisztian
Bamberg, Paul
Bamman, David
Bancarz, Iain
ERROR
Bandyopadhyay, Sivaji
Banea, Carmen
Banerjee, Satanjeev
Bangalore, Srinivas
Banjevic, Stefan
Banko, Michele
Banks, Amelie
Bannard, Colin
Baptista, Jorge
Bar-Haim, Roy
Bar-Itzhak, H.
Baral, Chitta
Barbero, Cristina
ERROR
Barbu, Ana-Maria
Barbu, Catalina
Barbu, Eduard
Barcena, Elena
Barclay, Chris
Bard, Ellen Gurman
Bares, William H.
Barg, Petra
Barker, Ken
Barlow, Michael
Barnard, Kobus
Barnden, John A.
Barnett, Brigitte
Barnett, James
Baron, Alex
Baron, Don
Baroni, Marco
Barr, Cory
Barr, Valerie
Barrachina, Sergio
Barras, Claude
Barrett, Leon
Barrett, Leslie
Barriere, Caroline
Barros, Flavia A.
Barrutieta, Guillermo
Barry, Chris
Barry, Guy
ERROR
Bartolini, Roberto
Barton Jr., G. Edward
ERROR
Barwise, Jon
Barzilay, Regina
ERROR
Baschung, Karine
Basile, Pierpaolo
Basili, Roberto
Bastin, V.
Basu, Anupam
Batagelj, Vladimir
ERROR
Batchelor, Colin R.
Bateman, John A.
ERROR
Bates, Madeleine
ERROR
Bates, Rebecca
Batliner, Anton
Batlle, Eloi
Batori, Istvan
Battista, Marco
Battle, Alexis
Baud, Robert
Baudis, Manja
Bauer, Travis L.
Baumann, Stefan
Baumgartner Jr., William A.
Baur, Judith
Bayer, Samuel
Bayerl, Petra Saskia
Beal, Matthew J.
Beale, Andrew David
Beale, Stephen
ERROR
Beamer, Brandon
Bean, David L.
Bear, John
ERROR
Beaven, John L.
Beaver, David
Beavers, John
Becerra, Javier
Bech, Annelise
Becher, Margit
Bechet, Denis
ERROR
Beck, David
Becker, Dara
Becker, Joseph D.
Becker, Lee A.
Becker, Markus
Becker, Tilman
Becket, Ralph
Beckles, D.
Beckman, Mary E.
Beckstein, C.
Beebe, Ralph D.
Beeferman, Doug
ERROR
Begeja, Lee
Begier, Barbara
Beguin, Annette
Bei, Ben
Beierle, Christoph
Beigman Klebanov, Beata
Beil, Franz
Beineke, Philip
Bejan, Cosmin Adrian
Bejar, Isaac
Bekavac, Bozo
Bekki, Daisuke
